S.No,Character,Voice actor(s),Character's role,Episode debut,Original air date
1,Homer Simpson,Dan Castellaneta[2],"Husband of Marge; father of Bart, Lisa, and Maggie.","""Good Night (The Simpsons short)""",1987-04-19
2,Marge Simpson,Julie Kavner [2],"Wife of Homer; mother of Bart, Lisa, and Maggie.","""Good Night (The Simpsons short)""",1987-04-19
3,Bart Simpson,Nancy Cartwright[2],Oldest child and only son of Homer and Marge; brother of Lisa and Maggie.,"""Good Night (The Simpsons short)""[3]",1987-04-19
4,Lisa Simpson,Yeardley Smith[2],Middle child and eldest daughter of Homer and Marge; sister of Bart and Maggie.,"""Good Night (The Simpsons short)""[3]",1987-04-19
5,Maggie Simpson,Liz Georges Gábor Csupó Harry Shearer Yeardley SmithNancy Cartwright Elizabeth Taylor James Earl Jones Jodie Foster,Youngest child and daughter of Homer and Marge; sister of Bart and Lisa.,"""Good Night (The Simpsons short)""[3]",1987-04-19
6,Akira,"George Takei,[4]Hank Azaria[2]",Waiter at The Happy Sumo;[5] karate teacher.[6],"""One Fish, Two Fish, Blowfish, Blue Fish""",1991-01-24
7,Ms. Albright,Tress MacNeille[7],Sunday school teacher.,"""The Telltale Head""",1990-02-25
8,Aristotle Amadopolis,"Jon Lovitz,[8] Dan Castellaneta[2]",Owner of the Shelbyville Nuclear Power Plant.[9],"""Homer Defined""",1991-10-17
9,"Atkins, State Comptroller","Harry Shearer,[10] Hank Azaria[11]",State comptroller.[12],"""Lisa Gets an ""A""""",1998-11-22
10,Mary Bailey,Maggie Roswell[7],Governor of Springfield's state.,"""Two Cars in Every Garage and Three Eyes on Every Fish""",1990-11-01
11,Birchibald "Birch" T. Barlow,Harry Shearer[7],Radio talk show host; Fox News anchor.,"""Sideshow Bob Roberts""",1994-10-09
12,Jasper Beardly,Harry Shearer[7],Grampa's closest neighbor at the Retirement Castle.,"""Bart the General""",1990-01-21
13,"Benjamin, Doug, and Gary","Harry Shearer,[7] Hank Azaria,[2] and Dan Castellaneta[2]",Springfield University students.,"""Homer Goes to College""",1993-10-14
14,Bill and Marty,Dan Castellaneta[2] and Harry Shearer[7],KBBL Radio co-hosts.,"""Bart vs. Thanksgiving""",1990-10-11
15,Blinky,Unvoiced,Three-eyed fish.,"""Two Cars in Every Garage and Three Eyes on Every Fish""",1990-11-01
16,Blue Haired Lawyer[13],Dan Castellaneta[13],Attorney.,"""Bart Gets Hit by a Car""",1991-01-10
17,Boobarella,Tress MacNeille,Host of late night TV monster movies.,"""I'm Spelling as Fast as I Can""",2003-02-16
18,Wendell Borton,Russi Taylor[7],Student at Springfield Elementary School.,"""Homer's Odyssey""",1990-01-21
19,Jacqueline Bouvier,Julie Kavner[2],"Mother of Selma and Patty Bouvier and Marge Simpson, Grandmother of Bart, Lisa, Maggie and Ling.","""Bart vs. Thanksgiving""",1990-02-11
20,Patty Bouvier,Julie Kavner[2],Twin sister of Selma and older sister of Marge.,"""Simpsons Roasting on an Open Fire""",1989-12-17
21,Selma Bouvier,Julie Kavner[2],Twin sister of Patty and older sister of Marge. Adoptive mother of Ling.,"""Simpsons Roasting on an Open Fire""",1989-12-17
22,Kent Brockman,Harry Shearer[7],Channel 6 News anchor.,"""Krusty Gets Busted""",1990-04-29
23,Bumblebee Man,Hank Azaria[2],Star of slapstick sketch comedy show on Canal Ocho.,"""Itchy & Scratchy: The Movie""",1992-11-03
24,Charles Montgomery Burns,"Christopher Collins (early season 1), Harry Shearer[7]",Owner of the Springfield Nuclear Power Plant.,"""Simpsons Roasting on an Open Fire""",1989-12-17
25,Capital City Goofball,Tom Poston[14],Mascot of the Capital City Capitals baseball team.[15],"""Dancin' Homer""",1990-11-08
26,Carl Carlson,Hank Azaria[2],Springfield Nuclear Power Plant employee.,"""Homer's Night Out""",1990-03-25
27,Crazy Cat Lady,Tress MacNeille[10],Mentally ill owner of many cats. Name revealed as Eleanor Abernathy in "See Homer Run".,"""Girly Edition""",1998-04-19
28,Gary Chalmers,Hank Azaria[2],Public schools superintendent.,"""Whacking Day""",1993-04-29
29,Charlie,Dan Castellaneta[16],Springfield Nuclear Power Plant employee.,"""Life on the Fast Lane""",1990-03-18
30,Chase (Pyro),Hank Azaria[13],Luann Van Houten's ex-boyfriend; American Gladiator.,"""A Milhouse Divided""",1996-12-01
31,Scott Christian,Dan Castellaneta[2],News co-anchor.,"""Krusty Gets Busted""",1990-04-29
32,Comic Book Guy,Hank Azaria[2],Proprietor of The Android's Dungeon comic book store. Name revealed to be Jeff Albertson in "Homer and Ned's Hail Mary Pass".,"""Three Men and a Comic Book""",1991-05-09
33,Mr. Costington,Hank Azaria[11],President of Costington's Department Store.,"""Trash of the Titans""",1998-04-26
34,Database,Nancy Cartwright[2],Student at Springfield Elementary School.  First name is revealed to be Kyle in "Yellow Subterfuge","""Bart's Comet""",1995-02-05
35,Declan Desmond,Eric Idle,Documentary filmmaker.,"""'Scuse Me While I Miss the Sky""",2003-03-20
36,Disco Stu,Hank Azaria[11],Disco aficionado.,"""Two Bad Neighbors""",1996-01-14
37,Dolph,Tress MacNeille[7],Springfield Elementary School bully.,"""The Telltale Head""",1990-02-25
38,Lunchlady Doris,Doris Grau (1991-1995) Tress MacNeille (1996-present)     [7],Springfield Elementary School lunch lady.,"""Lisa's Pony""",1991-11-07
39,Duffman,Hank Azaria[13],Spokes-mascot for Duff Beer. His real name is Barry Duffman.,"""The City of New York vs. Homer Simpson"".",1997-09-21
40,Eddie and Lou,Harry Shearer[7] and Hank Azaria[2],Springfield police officers.,"""There's No Disgrace Like Home""",1990-01-28
41,Fat Tony,Joe Mantegna,Mob boss.,"""Bart the Murderer""",1991-10-10
42,Maude Flanders,Maggie Roswell[7],Ned Flanders's wife (dies on Season 11).,"""Dead Putting Society""",1990-11-15
43,Ned Flanders,Harry Shearer[7],"The Simpson family's next door neighbor; owner of The Leftorium (until it closes on Season 29), Bart Simpson's teacher at Springfield Elementary School (Season 29 onwards, substituting the void left by former deceased teacher Edna Krabappel, whom was previously married to Flanders from Seasons 23 to 25).[17][18]","""Simpsons Roasting on an Open Fire""",1989-12-17
44,Rod Flanders,Pamela Hayden[7],Ned and Maude Flanders's oldest son.,"""The Call of the Simpsons""",1990-02-18
45,Todd Flanders,Nancy Cartwright[2],Ned and Maude Flanders's younger son.,"""Simpsons Roasting on an Open Fire""",1989-12-17
